,Area,Production,Rainfall,Season,Temperature,Crop
11151,524.0,168.7,7.81475,Winter,22.73425,Rapeseed &Mustard
33402,20.0,31.0,162.9592693528895,Whole Year,20.35188424334966,Dry chillies
95142,179.0,77012.30591908224,76.48133333333334,Kharif,26.98433333333333,Jowar
91463,3000.0,400.0,249.29566666666668,Kharif,25.361,Moong(Green Gram)
99898,816.0,254.0,9.57375,Rabi,19.07125,Rapeseed &Mustard
88471,186411.0,633208.0,4.1615,Rabi,19.70925,Wheat
55306,1.0,2.0,129.47925,Summer,30.37525,Jowar
61442,10.0,10.0,209.31799999999998,Kharif,28.26733333333333,Groundnut
35681,155.0,396.0,71.72175000000001,Summer,23.85175,Maize
17965,21680.0,1810150.0,64.6058446916234,Whole Year,30.548326156828427,Sugarcane
10819,1031.0,757.0,77.36866666666667,Kharif,29.55566666666667,Jowar
36962,9.0,84.0,102.2946256483625,Whole Year,28.832544981821734,Potato
67202,2767.0,402.0,239.78466666666668,Kharif,24.47266666666667,Moong(Green Gram)
46620,508.0,183.0,257.9576666666667,Kharif,25.45566666666667,Sesamum
39006,669.0,468.0,159.495,Kharif,28.48033333333333,Urad
26180,301.0,222.0,219.89275,Summer,30.75225,Urad
20749,77267.0,137149.0,203.454,Kharif,27.93866666666667,Rice
23107,35183.0,56553.0,5.209999999999999,Rabi,23.308000000000003,Wheat
81922,9.0,3.0,107.9623333333333,Kharif,28.50666666666666,Urad
39845,356.0,444.3,55.85725,Autumn,24.2835,Maize
46045,3724.0,1648.0,6.113000000000001,Rabi,23.5145,Gram
15304,5875.0,23007.0,137.726,Kharif,26.32333333333333,Maize
99621,9000.0,380000.0,70.3875,Whole Year,25.33091666666667,Sugarcane
5298,26.0,12.0,32.47525,Rabi,21.930999999999997,Moong(Green Gram)
60734,800.0,600.0,62.40566666666667,Kharif,27.52266666666667,Arhar/Tur
34001,4200.0,8100.0,75.45675,Rabi,25.34625,Groundnut
78229,47900.0,39000.0,126.8883333333333,Kharif,27.06,Rice
56307,54.0,0.0,24.92933333333333,Kharif,30.871,Arhar/Tur
78765,33647.0,29926.0,55.9165,Autumn,24.55025,Rice
9880,472.0,247.0,44.17375,Rabi,19.359,Gram
53815,2442.0,19581.0,175.4763897105694,Whole Year,23.72107712849756,Potato
14701,33682.0,18919.0,255.55900000000008,Kharif,26.44166666666667,Arhar/Tur
94465,7900.0,1400.0,52.008,Rabi,25.15775,Urad
98577,14663.0,3620.9,207.4573333333333,Kharif,26.665,Urad
47006,63.0,79.3,336.5335,Summer,27.98475,Wheat
72778,2454.0,746.0,354.829,Summer,29.424,Moong(Green Gram)
75441,205.0,81.0,36.607,Kharif,28.18066666666667,Moong(Green Gram)
68388,16800.0,17500.0,120.7026666666667,Kharif,26.316999999999997,Jowar
6341,5303.0,3974.0,3.647,Rabi,20.974,Gram
