,0,1,2,3,4,5,6,7
135,Uttar Pradesh,farrukhabad,2014,Rabi,Wheat,77049.0,1.0609849292574809e-153,2.168502617e-314
136,Uttar Pradesh,farrukhabad,2014,Rabi,Rapeseed &Mustard,33554.0,2.0875543406475507e-115,2.1512070705e-314
137,Uttar Pradesh,farrukhabad,2014,Rabi,Potato,6453.0,2.1877770744e-314,2.1877759677e-314
138,Uttar Pradesh,fatehpur,2014,Kharif,Urad,80702.0,2.087561333914631e-115,2.121995791e-314
139,Uttar Pradesh,fatehpur,2014,Kharif,Sugarcane,16633.0,5.14e-321,5.14e-321
140,Uttar Pradesh,fatehpur,2014,Kharif,Sesamum,10863.0,1.5e-323,1.5e-323
141,Uttar Pradesh,fatehpur,2014,Rabi,Wheat,174246.0,2.1908552116e-314,2.1877939176e-314
142,Uttar Pradesh,fatehpur,2014,Rabi,Rapeseed &Mustard,41942.0,6.95276438534497e-310,6.95276438534497e-310
143,Uttar Pradesh,fatehpur,2014,Rabi,Potato,16818.0,1.1949010665088331e+190,2.151205355e-314
144,Uttar Pradesh,firozabad,2014,Kharif,Urad,23319.0,3.435315101876462e+228,2.1478778467e-314
145,Uttar Pradesh,firozabad,2014,Kharif,Sugarcane,9398.0,9.13607823307883e+242,2.1512074025e-314
146,Uttar Pradesh,firozabad,2014,Kharif,Sesamum,1796.0,4.76660076964339e+180,2.1625123913e-314
147,Uttar Pradesh,firozabad,2014,Rabi,Wheat,97764.0,2.450671634569895e+198,2.121995791e-314
148,Uttar Pradesh,firozabad,2014,Rabi,Rapeseed &Mustard,53499.0,4.319025701656198e-96,2.151203015e-314
149,Uttar Pradesh,firozabad,2014,Rabi,Potato,8163.0,3.507650125530364e+151,2.1512060745e-314
150,Uttar Pradesh,gautam buddha nagar,2014,Kharif,Urad,22522.0,1.3954788478290135e-142,2.162428503e-314
151,Uttar Pradesh,gautam buddha nagar,2014,Kharif,Sugarcane,1798.0,2.3570761997603165e+257,2.14528052e-314
152,Uttar Pradesh,gautam buddha nagar,2014,Kharif,Rice,932.0,3.4924234984552726e-33,2.1512080744e-314
153,Uttar Pradesh,gautam buddha nagar,2014,Rabi,Wheat,40032.0,8.261088473961332e-72,2.168537431e-314
154,Uttar Pradesh,gautam buddha nagar,2014,Rabi,Rapeseed &Mustard,336.0,1.466314498864048e-75,2.1512025725e-314
155,Uttar Pradesh,gautam buddha nagar,2014,Rabi,Potato,165.0,6.742323114092306e-67,2.1452846107e-314
156,Uttar Pradesh,ghaziabad,2014,Kharif,Urad,11136.0,102.60000000000001,28.286666666666665
157,Uttar Pradesh,ghaziabad,2014,Kharif,Sugarcane,8650.0,102.60000000000001,28.286666666666665
158,Uttar Pradesh,ghaziabad,2014,Kharif,Rice,479.0,102.60000000000001,28.286666666666665
159,Uttar Pradesh,ghaziabad,2014,Rabi,Wheat,26619.0,5.91625,20.511250000000004
160,Uttar Pradesh,ghaziabad,2014,Rabi,Rapeseed &Mustard,1349.0,5.91625,20.511250000000004
161,Uttar Pradesh,ghaziabad,2014,Rabi,Potato,477.0,5.91625,20.511250000000004
162,Uttar Pradesh,ghazipur,2014,Kharif,Urad,136673.0,4.824123284039802e+228,2.1698250174e-314
163,Uttar Pradesh,ghazipur,2014,Kharif,Sugarcane,7239.0,1.0471813005185073e-142,2.145285247e-314
164,Uttar Pradesh,ghazipur,2014,Kharif,Sesamum,6284.0,1.4776364750968623e+248,2.151203458e-314
165,Uttar Pradesh,ghazipur,2014,Rabi,Wheat,175209.0,4.7821447727351e+180,2.151204849e-314
166,Uttar Pradesh,ghazipur,2014,Rabi,Rapeseed &Mustard,7865.0,1.1644157375316346e-28,2.151201055e-314
167,Uttar Pradesh,ghazipur,2014,Rabi,Potato,3964.0,3.4177407004717986e+214,2.169602937e-314
168,Uttar Pradesh,gonda,2014,Kharif,Urad,134534.0,7.499596578052287e+295,2.1469463986e-314
169,Uttar Pradesh,gonda,2014,Kharif,Sugarcane,79442.0,7.932607708760733e+223,2.151202857e-314
170,Uttar Pradesh,gonda,2014,Kharif,Sesamum,43274.0,2.1181666454174643e+285,2.1700678605e-314
171,Uttar Pradesh,gonda,2014,Rabi,Wheat,154990.0,1.1646660559238704e-28,2.162458803e-314
172,Uttar Pradesh,gonda,2014,Rabi,Rapeseed &Mustard,7759.0,1.160717913375252e-28,2.1452807096e-314
173,Uttar Pradesh,gonda,2014,Rabi,Potato,3042.0,1.1178934181717948e+253,2.151207181e-314
174,Uttar Pradesh,gorakhpur,2014,Kharif,Urad,152431.0,143.142,28.218
175,Uttar Pradesh,gorakhpur,2014,Kharif,Sugarcane,3518.0,143.142,28.218
176,Uttar Pradesh,gorakhpur,2014,Kharif,Sesamum,3042.0,143.142,28.218
177,Uttar Pradesh,gorakhpur,2014,Rabi,Wheat,190247.0,9.367249999999999,20.38
178,Uttar Pradesh,gorakhpur,2014,Rabi,Rapeseed &Mustard,4275.0,9.367249999999999,20.38
179,Uttar Pradesh,gorakhpur,2014,Rabi,Potato,3251.0,9.367249999999999,20.38
180,Uttar Pradesh,hardoi,2014,Kharif,Urad,142184.0,8.51704294256804e-96,2.1452846384e-314
181,Uttar Pradesh,hardoi,2014,Kharif,Sugarcane,37032.0,8.371779236692437e-144,2.1469569834e-314
182,Uttar Pradesh,hardoi,2014,Kharif,Sesamum,32000.0,1.3038436236478153e-142,2.148553871e-314
183,Uttar Pradesh,hardoi,2014,Rabi,Wheat,326194.0,1.1609664347740217e-28,2.151206296e-314
184,Uttar Pradesh,hardoi,2014,Rabi,Rapeseed &Mustard,11891.0,2.0269772999471615e+267,2.146450728e-314
185,Uttar Pradesh,hardoi,2014,Rabi,Potato,10874.0,4.038084490083007e+246,2.1685252255e-314
186,Uttar Pradesh,hathras,2014,Kharif,Urad,29465.0,1.0874170979967634e-95,2.168554316e-314
187,Uttar Pradesh,hathras,2014,Kharif,Sugarcane,3137.0,6.389881811593606e-67,2.151200031e-314
188,Uttar Pradesh,hathras,2014,Kharif,Sesamum,3042.0,1.1646718487553843e-28,2.1624544947e-314
189,Uttar Pradesh,hathras,2014,Rabi,Wheat,82134.0,9.104342090714935e+276,2.1685546956e-314
190,Uttar Pradesh,hathras,2014,Rabi,Rapeseed &Mustard,47100.0,2.602188142170837e+251,2.151201387e-314
191,Uttar Pradesh,hathras,2014,Rabi,Potato,8832.0,5.280355572569949e+256,2.1512008334e-314
192,Uttar Pradesh,jalaun,2014,Kharif,Urad,35353.0,0.0,2.146940379e-314
193,Uttar Pradesh,jalaun,2014,Kharif,Sugarcane,8779.0,2.144816218e-314,2.146472629e-314
194,Uttar Pradesh,jalaun,2014,Kharif,Sesamum,6810.0,0.0,2.1512016634e-314
195,Uttar Pradesh,jalaun,2014,Rabi,Wheat,155125.0,,2.1512045014e-314
196,Uttar Pradesh,jalaun,2014,Rabi,Rapeseed &Mustard,36148.0,1.500089289359194e+248,2.151201691e-314
197,Uttar Pradesh,jalaun,2014,Rabi,Potato,11680.0,0.0,2.151205798e-314
198,Uttar Pradesh,jaunpur,2014,Kharif,Urad,140428.0,143.06666666666666,28.310000000000002
199,Uttar Pradesh,jaunpur,2014,Kharif,Sugarcane,45029.0,143.06666666666666,28.310000000000002
200,Uttar Pradesh,jaunpur,2014,Kharif,Sesamum,11954.0,143.06666666666666,28.310000000000002
201,Uttar Pradesh,jaunpur,2014,Rabi,Wheat,209445.0,7.88,20.555
202,Uttar Pradesh,jaunpur,2014,Rabi,Rapeseed &Mustard,9686.0,7.88,20.555
203,Uttar Pradesh,jaunpur,2014,Rabi,Potato,4664.0,7.88,20.555
204,Uttar Pradesh,jhansi,2014,Kharif,Urad,83502.0,4.4759381595361623e-91,2.151204691e-314
205,Uttar Pradesh,jhansi,2014,Kharif,Sugarcane,76089.0,4.4759381595361623e-91,2.1699904424e-314
206,Uttar Pradesh,jhansi,2014,Kharif,Sesamum,30159.0,4.4759381595361623e-91,2.1512059085e-314
207,Uttar Pradesh,jhansi,2014,Rabi,Wheat,155061.0,4.4759381595361623e-91,2.169990316e-314
208,Uttar Pradesh,jhansi,2014,Rabi,Rapeseed &Mustard,50891.0,4.4759381595361623e-91,2.169990379e-314
209,Uttar Pradesh,jhansi,2014,Rabi,Potato,7966.0,4.4759381595361623e-91,2.16999232e-314
210,Uttar Pradesh,kannauj,2014,Kharif,Urad,34990.0,4.4759381595361623e-91,2.169992237e-314
211,Uttar Pradesh,kannauj,2014,Kharif,Sugarcane,22007.0,4.4759381595361623e-91,2.151205964e-314
212,Uttar Pradesh,kannauj,2014,Kharif,Sesamum,1287.0,1.0603294330900618e+136,2.169992209e-314
213,Uttar Pradesh,kannauj,2014,Rabi,Wheat,76686.0,9.021934228917646e+217,2.1453084484e-314
214,Uttar Pradesh,kannauj,2014,Rabi,Rapeseed &Mustard,44678.0,9.162813857878885e-72,2.1512047227e-314
215,Uttar Pradesh,kannauj,2014,Rabi,Potato,7523.0,5.208060366754342e+45,2.145308476e-314
216,Uttar Pradesh,kanpur dehat,2014,Kharif,Urad,37513.0,6.991779075731385e+228,2.1512059915e-314
217,Uttar Pradesh,kanpur dehat,2014,Kharif,Sugarcane,11802.0,1.614105586405973e+132,2.162457862e-314
218,Uttar Pradesh,kanpur dehat,2014,Kharif,Sesamum,11363.0,6.013470017025205e-154,2.146354658e-314
219,Uttar Pradesh,kanpur dehat,2014,Rabi,Wheat,122103.0,6.013470016999068e-154,2.16251666e-314
220,Uttar Pradesh,kanpur dehat,2014,Rabi,Rapeseed &Mustard,22825.0,6.013470016999068e-154,2.151206019e-314
221,Uttar Pradesh,kanpur dehat,2014,Rabi,Potato,20675.0,6.013470016999068e-154,2.1685026487e-314
222,Uttar Pradesh,kanpur nagar,2014,Kharif,Urad,29881.0,9.853306216042826e+165,2.151206047e-314
223,Uttar Pradesh,kanpur nagar,2014,Kharif,Sugarcane,17941.0,1.098654131984811e+248,2.1512048176e-314
224,Uttar Pradesh,kanpur nagar,2014,Kharif,Sesamum,12252.0,6.964075966315266e+252,2.170199871e-314
225,Uttar Pradesh,kanpur nagar,2014,Rabi,Wheat,102753.0,1.9771780236855798e+161,2.1624406134e-314
226,Uttar Pradesh,kanpur nagar,2014,Rabi,Rapeseed &Mustard,15162.0,2.112126190193269e+257,2.162458388e-314
227,Uttar Pradesh,kanpur nagar,2014,Rabi,Potato,14049.0,6.609254111522967e-62,2.162440582e-314
228,Uttar Pradesh,kaushambi,2014,Kharif,Urad,43224.0,1.494609666936199e+195,2.151206102e-314
229,Uttar Pradesh,kaushambi,2014,Kharif,Sugarcane,8962.0,9.82391602785277e+252,2.151204881e-314
230,Uttar Pradesh,kaushambi,2014,Kharif,Sesamum,6199.0,9.17987751257923e-72,2.1497919835e-314
231,Uttar Pradesh,kaushambi,2014,Rabi,Wheat,70882.0,5.742107319218485e+174,2.145277421e-314
232,Uttar Pradesh,kaushambi,2014,Rabi,Rapeseed &Mustard,9795.0,9.89803614943766e+164,2.169894633e-314
233,Uttar Pradesh,kaushambi,2014,Rabi,Potato,3992.0,5.971449514579964e+135,2.151206185e-314
234,Uttar Pradesh,kheri,2014,Kharif,Urad,268653.0,157.59666666666666,28.22666666666667
235,Uttar Pradesh,kheri,2014,Kharif,Sugarcane,155403.0,157.59666666666666,28.22666666666667
236,Uttar Pradesh,kheri,2014,Kharif,Sesamum,6959.0,157.59666666666666,28.22666666666667
237,Uttar Pradesh,kheri,2014,Rabi,Wheat,185828.0,14.094999999999999,19.805
238,Uttar Pradesh,kheri,2014,Rabi,Rapeseed &Mustard,29860.0,14.094999999999999,19.805
239,Uttar Pradesh,kheri,2014,Rabi,Potato,1574.0,14.094999999999999,19.805
240,Uttar Pradesh,lalitpur,2014,Kharif,Urad,142838.0,1.0038554355118033e+218,2.151206462e-314
241,Uttar Pradesh,lalitpur,2014,Kharif,Sugarcane,20987.0,1.2447802732825017e+136,2.151206517e-314
242,Uttar Pradesh,lalitpur,2014,Kharif,Sesamum,10706.0,1.353016601828373e-23,2.1464918384e-314
243,Uttar Pradesh,lalitpur,2014,Rabi,Wheat,173401.0,1.421378360108354e-76,2.1512065725e-314
244,Uttar Pradesh,lalitpur,2014,Rabi,Rapeseed &Mustard,13216.0,6.513177953444176e+175,2.1512066e-314
245,Uttar Pradesh,lalitpur,2014,Rabi,Potato,4598.0,9.162813866218055e-72,2.170244811e-314
246,Uttar Pradesh,lucknow,2014,Kharif,Urad,54126.0,145.725,28.30666666666667
247,Uttar Pradesh,lucknow,2014,Kharif,Sugarcane,5342.0,145.725,28.30666666666667
248,Uttar Pradesh,lucknow,2014,Kharif,Sesamum,1743.0,145.725,28.30666666666667
